specie,ID,MUN,Sitio,Alt,x,y,Sites
specie,m1a0,IXT,1,2564,17.211757,-96.283478,m1a0
specie,m1b0,IXT,2,2515,17.211372,-96.283682,m1b0
specie,m1c0,IXT,3,2476,17.210931,-96.284001,m1c0
specie,m2a0,IXT,1,2530,17.211936,-96.284123,m2a0
specie,m2b0,IXT,2,2476,17.211543,-96.284387,m2b0
specie,m2c0,IXT,3,2418,17.211182,-96.284629,m2c0
specie,v1a7,IXT,1,2545,17.211551,-96.283848,v1a7
specie,v1b7,IXT,2,2484,17.211831,-96.284071,v1b7
specie,v1c7,IXT,3,2429,17.211029,-96.284471,v1c7
specie,v2a,IXT,1,2521,17.212271,-96.284429,v2a
specie,v2b,IXT,2,2463,17.211813,-96.284675,v2b
specie,v2c,IXT,3,2412,17.211546,-96.284831,v2c
specie,ula,IXT,1,2582,17.205971,-96.281732,ula
specie,ulb,IXT,2,2532,17.205751,-96.281544,ulb
specie,ulc,IXT,3,2480,17.205531,-96.281434,ulc
specie,ul2a,IXT,1,2537,17.205521,-96.281931,ul2a
specie,ul2b,IXT,2,2485,17.205301,-96.281801,ul2b
specie,ul2c,IXT,3,2421,17.205123,-96.281778,ul2c
specie,aga,IXT,1,2430,17.204583,-96.281528,aga
specie,agb,IXT,2,2380,17.204353,-96.281308,agb
specie,agc,IXT,3,2326,17.204183,-96.281198,agc
