Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
2.62256E-12,0.000000001,0.000000001,0.99910063,0,0
4.6774E-12,0.000000003,0.000000001,0.998600979,0,0
9.16706E-12,0.00000001,0.000000002,0.997601679,0,0
2.33691E-11,0.000000025,0.000000006,0.996702308,0,0
5.23712E-11,0.000000104,0.000000014,0.994603777,0,0
1.0045E-10,0.000000254,0.000000027,0.992705106,0,0
2.08012E-10,0.000001,0.000000056,0.987908464,0,0
3.50355E-10,0.000002512,0.000000094,0.982312381,0,0
9.3382E-10,0.000010046,0.000000251,0.970220845,0,0
1.85467E-9,0.000025111,0.000000499,0.95962826,0,0
3.07402E-9,0.000050173,0.000000826,0.949435395,0,0
4.62453E-9,0.000100132,0.000001243,0.936344559,0,0
8.33978E-9,0.000250589,0.000002242,0.913160787,0,0
1.24851E-8,0.000500181,0.000003356,0.889277506,0,0
1.79267E-8,0.001000071,0.000004819,0.85650045,0,0
2.96233E-8,0.002502521,0.000007963,0.792645148,0,0
5.21241E-8,0.005001631,0.000014011,0.728889777,0,0
9.65858E-8,0.010000767,0.000025962,0.659038673,0,0
2.28143E-7,0.025020764,0.000061322,0.561107225,0,0
4.42865E-7,0.050013781,0.000119029,0.484660737,0,0
9.8128E-7,0.100080357,0.000263701,0.410712501,0,0
2.1319E-6,0.20014996,0.000572732,0.342160488,0,0
3.32985E-6,0.300137607,0.000894271,0.304886579,0,0
4.64915E-6,0.400451073,0.001248144,0.279504347,0,0
6.08729E-6,0.500597914,0.001633604,0.260617568,0,0
7.44025E-6,0.600724291,0.001995967,0.24572799,0,0
8.82536E-6,0.700735047,0.002366664,0.233436594,0,0
9.55333E-6,0.750378847,0.002561381,0.228040372,0,0
1.02487E-5,0.800014604,0.002747295,0.223043869,0,0
1.16281E-5,0.900163667,0.003115929,0.213850305,0,0
1.31727E-5,1.000853473,0.003528366,0.205755971,0,0
1.46533E-5,1.100993741,0.003923391,0.198561007,0,0
1.59203E-5,1.200338124,0.00426117,0.192065554,0,0
1.74953E-5,1.300599125,0.004680777,0.186069751,0,0
1.87292E-5,1.400255254,0.005009239,0.180573598,0,0
2.05632E-5,1.50186267,0.005497063,0.175377236,0,0
2.42917E-5,1.750081166,0.006487299,0.164285,0,0
2.77279E-5,2.002490869,0.007398184,0.154591786,0,0
3.16582E-5,2.250454754,0.008438004,0.146197662,0,0
3.5421E-5,2.502560033,0.00943145,0.138702908,0,0
3.94229E-5,2.753544296,0.010485843,0.132007595,0,0
4.32015E-5,3.003454568,0.011479358,0.126011792,0,0
4.68456E-5,3.251493267,0.012435626,0.120515639,0,0
5.12385E-5,3.500675263,0.01358592,0.115419207,0,0
5.5136E-5,3.755045254,0.014604259,0.110622564,0,0
6.03645E-5,4.002107809,0.015967043,0.106325572,0,0
6.46057E-5,4.252457883,0.017069724,0.10232837,0,0
7.03844E-5,4.50195292,0.018568199,0.098630958,0,0
7.61181E-5,4.750387713,0.020050488,0.095233337,0,0
8.15001E-5,5.00359561,0.021437786,0.092035575,0,0
8.755E-5,5.257632745,0.022992565,0.089037674,0,0
9.24576E-5,5.500950727,0.02425014,0.086339562,0,0
9.86936E-5,5.750600343,0.025843484,0.083741381,0,0
1.03809E-4,6.004097105,0.027146644,0.08124313,0,0
1.11054E-4,6.251403365,0.028986217,0.078944739,0,0
1.15955E-4,6.501046255,0.030226896,0.076746278,0,0
1.20865E-4,6.762082615,0.031466624,0.074547817,0,0
1.26675E-4,7.009081712,0.032929263,0.072549216,0,0
1.317E-4,7.254098972,0.034190991,0.070650545,0,0
1.36057E-4,7.508364177,0.035282042,0.068751874,0,0
1.44561E-4,7.759844019,0.037404751,0.066953133,0,0
1.49779E-4,8.009119843,0.038702835,0.065254322,0,0
1.55522E-4,8.254179916,0.040127132,0.063655441,0,0
1.6297E-4,8.509326011,0.041968158,0.06205656,0,0
1.71821E-4,8.761356465,0.044146845,0.06055761,0,0
1.76767E-4,9.005587074,0.045360123,0.059158589,0,0
1.85071E-4,9.258244608,0.047389912,0.057759568,0,0
1.91598E-4,9.503932912,0.048979427,0.056460478,0,0
1.9736E-4,9.757607159,0.050378283,0.055161387,0,0
2.01917E-4,10.01791017,0.051481639,0.053862296,0,0
2.06625E-4,10.262740186,0.052618676,0.052663136,0,0
2.19025E-4,10.517886116,0.055600918,0.051463975,0,0
2.22663E-4,10.761044801,0.056472399,0.050364745,0,0
2.31027E-4,11.010579269,0.05846974,0.049265514,0,0
2.38167E-4,11.269072139,0.060167957,0.048166284,0,0
2.4509E-4,11.511180431,0.061808757,0.047166983,0,0
2.54262E-4,11.761998333,0.063973783,0.046167683,0,0
2.58575E-4,12.018365934,0.064988595,0.045168382,0,0
2.63515E-4,12.254077573,0.066147922,0.044269012,0,0
2.70439E-4,12.520818086,0.067768256,0.043269711,0,0
2.7996E-4,12.770030917,0.06998723,0.042370341,0,0
2.84243E-4,13.024103755,0.07098195,0.04147097,0,0
2.90792E-4,13.253969936,0.072498746,0.04067153,0,0
2.94732E-4,13.518120362,0.073408856,0.039772159,0,0
2.99707E-4,13.756446154,0.074555597,0.038972719,0,0
3.08889E-4,14.029417821,0.076664733,0.038073349,0,0
3.15144E-4,14.279552793,0.078095916,0.037273908,0,0
3.21742E-4,14.50278599,0.079600768,0.036574398,0,0
3.3132E-4,14.764883916,0.081776736,0.035774958,0,0
3.42903E-4,15.001485056,0.084394178,0.035075447,0,0
3.52877E-4,15.280164178,0.08663642,0.034276007,0,0
3.5667E-4,15.528856566,0.087486111,0.033576496,0,0
3.63999E-4,15.781604356,0.08912353,0.032876986,0,0
3.69952E-4,16.00105702,0.090449345,0.032277406,0,0
3.74797E-4,16.26161139,0.091525456,0.031577895,0,0
3.80917E-4,16.526410924,0.092881246,0.030878385,0,0
3.95684E-4,16.761259195,0.096135725,0.030278805,0,0
4.01884E-4,17.001100065,0.097495324,0.029679225,0,0
4.12572E-4,17.28503584,0.099829213,0.028979714,0,0
4.22078E-4,17.537015659,0.101895042,0.028380134,0,0
4.29349E-4,17.792050373,0.1034687,0.027780554,0,0
4.3579E-4,18.008522077,0.104858142,0.027280903,0,0
4.43629E-4,18.272596275,0.106543479,0.026681323,0,0
4.67396E-4,18.545635118,0.111614257,0.026081743,0,0
4.84133E-4,18.78300571,0.115150782,0.025582093,0,0
4.98087E-4,19.028191724,0.118077833,0.025082442,0,0
5.16349E-4,19.281575823,0.121879543,0.024582792,0,0
5.23198E-4,19.541356115,0.123296794,0.024083142,0,0
5.38782E-4,19.754372279,0.126504742,0.023683422,0,0
5.63633E-4,20.031196183,0.131572049,0.023183771,0,0
5.7075E-4,20.258307035,0.133012315,0.022784051,0,0
5.98721E-4,20.550309158,0.138627301,0.022284401,0,0
6.08539E-4,20.792210481,0.140581041,0.021884681,0,0
6.16639E-4,21.037959798,0.142186079,0.021484961,0,0
6.22668E-4,21.286545759,0.143376989,0.02108524,0,0
6.38333E-4,21.538958486,0.14645576,0.02068552,0,0
6.51614E-4,21.797630357,0.149048745,0.0202858,0,0
6.64592E-4,22.060907592,0.151567435,0.01988608,0,0
6.69304E-4,22.261292132,0.152478096,0.01958629,0,0
6.82751E-4,22.532953286,0.155066456,0.019186569,0,0
7.03306E-4,22.811784626,0.158992749,0.018786849,0,0
7.3504E-4,23.030225779,0.164983049,0.018487059,0,0
7.39534E-4,23.251769979,0.165824508,0.018187269,0,0
7.64045E-4,23.553950402,0.170384148,0.017787549,0,0
7.86135E-4,23.787901961,0.174450888,0.017487759,0,0
8.09165E-4,24.02836602,0.17864846,0.017187968,0,0
8.22043E-4,24.273513008,0.180977093,0.016888178,0,0
8.41891E-4,24.523745091,0.184540375,0.016588388,0,0
8.68344E-4,24.782556653,0.189241498,0.016288598,0,0
9.03464E-4,25.048499572,0.195399873,0.015988808,0,0
9.13845E-4,25.321515524,0.19720222,0.015689018,0,0
9.18491E-4,25.504836085,0.198006327,0.015489158,0,0
9.32609E-4,25.782594475,0.20043985,0.015189367,0,0
9.46731E-4,26.065007468,0.202859293,0.014889577,0,0
9.65167E-4,26.256877249,0.205995877,0.014689717,0,0
9.75245E-4,26.548589682,0.20770004,0.014389927,0,0
1.01595E-3,26.851187176,0.214508894,0.014090137,0,0
1.04847E-3,27.059534348,0.219865786,0.013890277,0,0
1.06675E-3,27.272356247,0.222844919,0.013690417,0,0
1.0849E-3,27.596828663,0.22578119,0.013390627,0,0
1.10791E-3,27.817715999,0.229470387,0.013190766,0,0
1.12768E-3,28.041533117,0.232613579,0.012990906,0,0
1.16276E-3,28.273041364,0.238125431,0.012791046,0,0
1.19779E-3,28.510182075,0.243552628,0.012591186,0,0
1.213E-3,28.752709614,0.24588536,0.012391326,0,0
1.25685E-3,29.003167372,0.252529341,0.012191466,0,0
1.27533E-3,29.258163413,0.255294014,0.011991606,0,0
1.28984E-3,29.515156564,0.257450132,0.011791746,0,0
1.34739E-3,29.781832571,0.265883316,0.011591886,0,0
1.38099E-3,30.055950835,0.270719282,0.011392026,0,0
1.39489E-3,30.334028795,0.272701397,0.011192165,0,0
1.45035E-3,30.619964555,0.280501987,0.010992305,0,0
1.48051E-3,30.768016026,0.28467503,0.010892375,0,0
1.49956E-3,31.066048291,0.287285443,0.010692515,0,0
1.54378E-3,31.372241989,0.293271921,0.010492655,0,0
1.57622E-3,31.529864159,0.297601029,0.010392725,0,0
1.58658E-3,31.847050472,0.298972521,0.010192865,0,0
1.58712E-3,32.005762888,0.299043917,0.010092935,0,0
1.62257E-3,32.326950824,0.303693917,0.009893075,0,0
1.68238E-3,32.660234731,0.31140269,0.009693215,0,0
1.74099E-3,32.834333338,0.318792441,0.009593285,0,0
1.74988E-3,33.009321294,0.319899977,0.009493355,0.111111111,0
1.77977E-3,33.363300527,0.323596028,0.009293495,0.111111111,0
1.8066E-3,33.543960972,0.326880244,0.009193565,0.111111111,0
1.85855E-3,33.913259942,0.333148363,0.008993704,0.111111111,0
1.9054E-3,34.103799736,0.338701175,0.008893774,0.111111111,0
1.93007E-3,34.296807109,0.341589187,0.008793844,0.111111111,0
2.01713E-3,34.692656704,0.351579276,0.008593984,0.111111111,0
2.0223E-3,34.894887103,0.352163905,0.008494054,0.111111111,0
2.0248E-3,35.097366644,0.35244485,0.008394124,0.111111111,0
2.03389E-3,35.300755293,0.353467945,0.008294194,0.111111111,0
2.0425E-3,35.505004886,0.35443386,0.008194264,0.111111111,0
2.08605E-3,35.920305838,0.359275975,0.007994404,0.111111111,0
2.10462E-3,36.130767843,0.361319085,0.007894474,0.111111111,0
2.15133E-3,36.345900717,0.366399863,0.007794544,0.111111111,0
2.20089E-3,36.565989383,0.371702923,0.007694614,0.111111111,0
2.31237E-3,36.797226149,0.383313758,0.007594684,0.111111111,0
2.35313E-3,37.032538789,0.387452402,0.007494754,0.111111111,0
2.42145E-3,37.274684152,0.394267123,0.007394824,0.111111111,0
2.45146E-3,37.519830462,0.397212474,0.007294894,0.111111111,0
2.50247E-3,37.770077388,0.402153416,0.007194964,0.111111111,0
2.52756E-3,38.022833298,0.404554257,0.007095033,0.111111111,0
2.5632E-3,38.279153335,0.407931795,0.006995103,0.111111111,0
2.5973E-3,38.538883315,0.411127549,0.006895173,0.111111111,0
2.63043E-3,38.801926096,0.414199397,0.006795243,0.222222222,0
2.63242E-3,39.065168218,0.414383217,0.006695313,0.222222222,0
2.68289E-3,39.333457562,0.418999324,0.006595383,0.222222222,0
2.71433E-3,39.604890261,0.42183759,0.006495453,0.222222222,0
2.73735E-3,39.878625736,0.423899327,0.006395523,0.222222222,0
