Predictor variable,Categorical,Sample average
bio01,false,120.0
bio02,false,129.55555555555554
bio03,false,70.77777777777777
bio04,false,1128.0
bio05,false,214.0
bio06,false,32.333333333333336
bio07,false,181.66666666666666
bio08,false,122.44444444444444
bio09,false,114.66666666666667
bio10,false,134.44444444444446
bio11,false,104.55555555555556
bio12,false,2179.3333333333335
bio13,false,385.1111111111111
bio14,false,32.44444444444444
bio15,false,79.33333333333333
bio16,false,1122.888888888889
bio17,false,118.0
bio18,false,227.22222222222223
bio19,false,225.22222222222223
